id_user_care_invita,id_user_invitat
38420,12024
41623,26081
12572,18362
29520,47953
6938,17462
6220,8322
41282,22332
3331,55200
5879,38771
31727,32455
38330,28369
2990,13527
33934,825
37989,26228
24379,35699
31045,21728
33593,42296
24693,16538
24038,39148
18404,9709
20952,1826
17749,14040
27618,1424
52811,19546
52093,12896
14797,35917
24011,10170
23356,33679
55673,33682
52407,36595
26559,306
55018,19460
17722,13190
20270,30916
46118,49443
17004,45242
48666,46256
23670,18527
52066,26386
26218,38919
19929,43308
45777,11264
16663,10187
19274,56901
10374,15196
54273,48377
38770,44534
45373,34959
39084,51302
53932,14186
12581,11618
45032,41280
3744,11832
44377,44041
3026,46566
38743,22063
9692,29675
12240,21492
3340,6673
2685,13438
5951,24707
5233,52005
11899,33610
40295,48002
6265,51684
4892,38415
39954,25246
56902,18431
31054,13015
4551,56689
33261,41925
24424,24680
26972,53703
32920,30619
17417,31454
19965,37812
23365,10392
26631,40597
52479,37642
25913,2993
55027,32728
46127,47868
17076,13400
45472,38925
19624,43495
52075,15462
23024,26385
54686,52561
16017,30293
19283,43156
51734,10394
55000,48709
51079,37895
12994,44700
16331,39607
19597,40922
47338,15447
51393,47324
53941,23549
13308,919
12590,13514
11935,46865
44386,46347
38097,35461
11594,9310
40708,53518
46593,17096
46656,20438
5305,478
11908,46643
37756,20389
31467,29715
2353,16604
8167,23921
34015,18179
4964,7869
11567,47237
37415,45486
43229,4426
7826,56862
24119,17208
39622,14577
38967,37469
26667,19395
33333,36950
30067,51099
32615,5321
39281,33667
41829,37629
33647,39848
32929,45635
29726,1759
35540,43268
55036,44096
25985,33076
52147,1353
23033,31547
25644,35776
54040,20012
45140,44042
25958,20858
54354,27943
12348,56462
53699,56453
18951,35478
22217,30513
9396,24921
53295,48322
18610,15988
47006,36860
21158,8095
11603,48385
56220,25978
44117,26454
5314,22395
11262,18561
46324,13967
20476,53673
4973,45189
33369,39204
11576,31602
39972,38506
2021,39355
5287,54084
4632,3737
33028,39301
38976,613
891,20431
4946,18385
4291,36162
4228,11190
6839,31746
32687,26294
39290,52900
1205,53838
550,5089
7153,53110
29735,16346
33001,13185
32346,52655
35549,39413
864,47752
29394,16326
35208,11399
23105,39188
26308,14892
54049,27150
25967,35193
25312,43472
27860,25064
53708,51953
21571,25255
18305,30567
24971,6085
54022,22461
27519,32484
12016,42323
18619,31832
47078,17395
21230,40910
53681,42990
27178,48819
53026,31035
44126,6089
18278,8517
46674,24814
17623,43777
14537,17821
10616,29907
39730,23018
17937,54381
46333,15114
4982,32681
45678,41979
48881,30084
55547,18733
10930,53148
14196,6733
42592,3288
10275,43926
7189,52469
32696,54357
39299,12593
36096,19622
38644,3081
41910,31790
559,45175
32355,50952
38958,40810
6166,51485
34562,19565
25725,29148
28273,23818
31673,34463
34221,5363
51169,45612
25321,22247
19032,33756
33880,11124
9477,19531
27528,53195
53376,34355
18691,4760
21239,3643
53690,53299
53035,21693
27187,12776
11684,30638
55583,54733
20898,997
46746,32733
20243,22528
52694,10158
11343,9643
13891,47578
39739,44437
20557,27470
17291,16295
45687,4258
19839,1013
13550,20657
46001,41650
4713,8351
3995,56499
39712,52747
54560,16600
13209,8164
45660,4508
7575,54229
6920,47403
41919,2894
12868,31090
45319,18596
34975,54341
38312,40586
41578,50056
227,14852
40923,30605
35289,36932
34571,52015
5520,18382
25734,51108
28282,37099
5834,33708
34230,25955
31341,27794
24989,35454
24334,21130
1752,53757
55996,21634
32893,30286
46441,5032
27259,13345
23993,18606
56310,13120
20907,38804
46755,33288
46100,5881
52703,50800
26855,41318
55969,12429
29466,25095
20566,18124
19911,50740
45014,8014
48280,41856
6274,31738
10329,4858
41273,11822
12222,24835
3322,29130
9136,32225
40932,42118
35298,41438
6247,21097
50146,39007
5529,47701
38043,22671
14743,38708
40591,55485
34957,36086
31036,40873
5188,33884
40905,25734
25402,16791
40250,51301
5502,28087
34616,9822
33898,5977
33243,56981
27609,1421
26954,38017
32902,32328
55664,30105
26613,25109
33216,14365
17713,47831
52775,40274
23661,16921
17372,21156
23186,7646
52434,22966
54982,11230
29134,31580
54327,8829
17031,46934
22845,8072
47975,27513
51375,38509
10024,56273
13290,36484
48289,5088
45086,6521
21786,28659
47634,35045
54237,3448
12231,52771
15497,54804
18897,48865
6597,2053
12545,11078
38393,56645
41659,21945
15156,51781
11890,49760
41004,43516
47607,53417
21104,25222
46952,32461
34652,51653
12204,23311
40600,33165
39945,16965
47266,34807
5915,33272
2649,33936
34311,7884
5260,5311
36859,37820
33970,55323
7467,34907
33315,251
36518,51875
24415,49027
1833,5905
42466,53921
39263,34175
1115,25396
30363,35572
7781,26451
33629,51074
27277,29485
53125,43968
774,30171
26622,20816
33225,54678
26936,33039
433,41614
54677,26275
26595,54213
92,42946
28488,29967
22199,9299
51384,40524
54650,41547
13299,26479
53995,25042
28147,12516
12644,35471
19247,56134
22513,24457
45095,24949
18592,18266
21858,2159
47706,44732
54309,41134
12958,35966
53654,32444
48020,18004
18906,33379
3403,32579
18251,4243
21454,27143
41668,10009
41013,14293
56516,54901
18565,52675
50227,4594
49509,19991
14824,3232
40672,49459
37406,7209
43220,50650
46620,18452
40331,15233
39613,50943
33979,5734
48827,39093
10742,23400
7476,19205
39927,45645
42538,50647
4587,26653
33638,31354
33297,40753
32642,49826
6794,15503
27008,12077
1160,7266
29556,12611
26290,32600
25635,53636
7108,43226
20001,32835
34849,7723
29215,53702
25949,41133
51797,24200
16394,7606
19660,30037
54659,24901
28156,46166
21867,36229
25267,51849
54318,27135
53663,15638
27815,42105
18260,31342
53322,42121
17919,26493
49581,619
14833,42124
40681,21220
11630,37938
55529,46716
14178,40377
49895,16756
45974,35225
7889,1326
40340,32071
11289,37583
42888,11699
13837,45070
46288,38497
4937,6283
45633,8087
7548,32570
42547,52217
4596,2587
7144,19908
39658,25908
855,56288
41551,43552
6803,38419
32651,8792
35917,34926
6148,8401
35199,31541
26362,17022
28910,15815
19355,41377
34858,39755
19669,39311
31969,25785
34517,470
25617,23447
28883,6511
54076,6647
28228,9555
24962,37451
19328,52083
21876,20227
21221,9119
25276,24879
28542,48646
27824,38058
24621,22807
56938,1524
27169,46700
34490,22341
47383,16009
49931,39501
53331,28939
14591,5970
17928,14456
43776,41828
49590,38317
20539,48358
55538,15932
14905,6155
14187,2614
45983,55936
11298,36981
39694,10387
46297,7570
48908,16987
7557,53831
48253,43332
13505,47274
41901,53404
7871,14285
51115,30397
7216,26374
35612,1238
42215,40137
15712,22980
41560,1818
209,41765
7530,11652
3609,8159
35926,21206
6812,9067
35271,2832
9423,3107
32005,27182
38671,20459
41874,12705
523,12110
26371,45092
41219,27429
15371,20985
35585,23845
34930,45259
9082,16374
26030,41821
41533,52073
40878,12664
31978,5214
33871,53368
18682,49995
34185,34827
24630,3740
30444,27003
56292,3910
1393,42834
46737,24927
24289,30730
55951,42237
20548,53219
23814,6731
52344,26047
14259,52766
29762,17644
49258,2346
48603,4774
52003,44424
13200,14622
6911,49519
22414,43216
48262,1702
14232,46456
39362,20787
48576,39369
7225,49174
6570,21516
39021,52428
42287,33171
41569,26089
48235,40129
6884,55686
9432,40471
12832,17755
44494,52035
6543,24144
34939,46844
9091,2769
5888,54750
40887,230
25384,42425
43435,14015
6139,31290
37146,44995
40546,33458
2461,56293
1743,10983
43094,8226
30991,24203
34257,23426
27905,47746
1402,25656
55960,36479
21275,13388
27223,7892
54964,8689
13613,22138
20934,9875
23482,46473
22827,52570
48675,25481
19561,29308
52012,52763
13927,54040
16475,123
19875,12434
45723,14205
23141,107
51537,31909
22423,52668
13586,40203
10320,53133
54937,16141
29089,52409
16134,52981
41982,32777
45382,30120
22082,45995
6579,43862
13245,32877
42296,6145
12527,56325
15793,32366
19193,6855
6893,17379
47589,34862
21741,7312
50137,46779
12841,8596
41955,21185
41300,45075
15452,5614
40582,9338
6552,52700
47248,28441
5897,3383
34948,18586
34293,12799
40896,33404
43507,14107
40241,51834
2156,25166
5556,35856
34607,17401
49455,39201
33952,6224
8104,5654
40555,10635
1815,21736
8418,42740
34266,50369
31000,44164
7763,26477
36814,40543
1474,48082
27636,45920
1070,34236
26918,52346
29529,39661
36132,23851
23177,23382
26577,25074
729,29502
29125,56353
54973,51660
20288,16848
22836,45122
54632,46340
13281,47876
19947,38773
22495,3744
19229,3372
54946,23263
28443,28918
12940,20192
22154,54755
50550,22415
47284,53193
54605,8961
41650,17900
12599,11152
19202,1882
21750,835
50209,34055
41309,18075
15461,50363
56157,55636
14806,18
47257,40119
5906,33855
46602,5349
8517,42509
40968,7998
15120,56551
2165,15937
14465,6043
43516,45469
49464,50982
8831,10521
39909,8509
43175,39928
1824,46231
34275,56817
5224,20800
36886,27360
33620,8243
36231,30015
40223,24993
42834,1174
27331,16262
1483,11426
29879,12591
828,10185
4883,50596
33279,36055
6776,54924
26990,29124
45041,6910
29538,19002
32938,49644
35486,17864
19983,3005
1456,42809
26586,20036
25931,31138
83,35383
20297,34548
35145,26914
55359,18485
28856,5470
19956,13614
22504,128
21849,25143
28452,19326
56911,38788
22163,15195
50559,47830
21508,8706
47670,983
21822,33375
18556,46390
21167,33138
56166,2782
14815,21768
40663,24185
47329,37678
21481,9309
49877,40341
24029,43350
8526,41532
40977,42901
