id_vizita,timestamp,id_vizitator,id_magazin,discount
1,2016-09-09 00:13:07,26962,1,914
2,2016-11-30 11:52:24,1941,5,875
3,2016-05-22 06:59:4,17536,3,767
4,2016-01-27 21:58:20,23994,4,787
5,2016-05-01 08:46:19,14568,2,343
6,2016-11-27 22:01:45,8543,2,676
7,2016-06-05 03:48:04,4944,2,29
8,2016-09-17 12:00:11,24581,3,644
9,2016-12-10 02:29:28,27517,3,82
10,2016-07-21 22:11:21,26593,2,741
11,2016-04-30 13:44:1,7616,5,206
12,2016-03-24 13:30:42,10352,3,209
13,2016-06-29 17:44:39,15106,5,372
14,2016-04-24 15:27:43,1828,2,862
15,2016-04-13 16:51:13,9910,2,815
16,2016-07-15 13:25:33,20418,1,-1
17,2016-11-26 04:47:17,1671,4,224
18,2016-12-26 03:01:58,29562,5,-1
19,2016-02-20 23:42:20,12997,3,-1
20,2016-11-05 05:10:1,8169,5,868
21,2016-10-29 07:25:4,25177,3,94
22,2016-10-24 13:25:01,19633,5,375
23,2016-04-21 11:13:00,24517,5,-1
24,2016-12-14 05:03:48,2711,3,616
25,2016-12-18 06:46:10,955,5,168
26,2016-11-11 15:00:44,8801,5,997
27,2016-07-20 02:32:14,1261,4,696
28,2016-05-16 15:28:55,6628,3,425
29,2016-04-26 11:22:53,13359,2,582
30,2016-03-22 13:25:17,24345,4,814
31,2016-04-19 23:37:57,31773,4,746
32,2016-07-02 16:09:24,3431,3,469
33,2016-10-10 10:39:23,14399,2,283
34,2016-11-29 09:27:59,24788,4,438
35,2016-04-18 00:53:57,31451,5,104
36,2016-05-30 19:42:30,17184,2,898
37,2016-05-06 06:48:57,27370,4,871
38,2016-02-08 12:46:23,16345,5,473
39,2016-07-30 00:11:42,11832,4,628
40,2016-05-22 13:42:10,543,1,993
41,2016-11-15 22:27:5,19568,5,506
42,2016-09-16 11:15:27,22985,1,497
43,2016-09-04 18:14:22,17325,1,839
44,2016-09-19 17:13:24,28690,3,799
45,2016-07-28 00:22:41,22644,1,4
46,2016-02-04 03:47:48,14237,5,918
47,2016-07-01 22:25:12,19470,5,-1
48,2016-10-12 09:09:37,12655,1,916
49,2016-09-12 01:30:04,29574,3,957
50,2016-04-13 12:49:12,14535,2,829
51,2016-11-05 08:37:36,17255,4,708
52,2016-01-24 11:06:5,23196,2,709
53,2016-12-05 11:03:41,29416,3,379
54,2016-10-05 18:30:59,27642,4,11
55,2016-09-30 08:48:05,8475,2,814
56,2016-03-29 17:01:4,16678,5,606
57,2016-05-25 06:54:23,31109,5,39
58,2016-07-22 16:47:19,29771,4,56
59,2016-10-14 08:28:47,17204,3,-1
60,2016-01-29 21:19:28,25459,1,-1
61,2016-03-12 01:06:12,15737,2,874
62,2016-03-26 11:03:56,15734,2,449
63,2016-04-30 13:40:17,9536,4,408
64,2016-07-31 04:36:33,14279,5,792
65,2016-02-20 05:06:27,23054,5,447
